project,repeat,metric,NB,XGBoost_ablation,XGBoost_proposed
pytorch,12,auc,0.5288814983371258,0.7479432872396289,0.7134605286189393
pytorch,13,auc,0.5314195694031156,0.6323297741991948,0.689130054262209
pytorch,14,auc,0.5091020479607911,0.689130054262209,0.7575704533520042
pytorch,15,auc,0.526343427271136,0.6597234377734991,0.6201645370208297
pytorch,16,auc,0.5167162611587607,0.6987572203745843,0.718536670750919
pytorch,17,auc,0.5760546122877648,0.7134605286189393,0.6911430071766147
pytorch,18,auc,0.5243304743567303,0.6718886749518642,0.6840539121302293
pytorch,19,auc,0.5435848065814809,0.762646595483984,0.7403290740416594
pytorch,20,auc,0.5161911430071766,0.6424820584631542,0.6252406791528095
pytorch,21,auc,0.5755294941361806,0.659198319621915,0.6718886749518642
pytorch,22,auc,0.5364957115350955,0.5932959915981095,0.6196394188692456
pytorch,23,auc,0.5136530719411868,0.6962191493085944,0.7012952914405741
pytorch,24,auc,0.5040259058288115,0.6201645370208297,0.58568177840014
pytorch,25,auc,0.5091020479607911,0.6942061963941887,0.6865919831962191
pytorch,26,auc,0.5441099247330649,0.6495711535095396,0.686066865044635
pytorch,27,auc,0.541046735515491,0.7261508839488886,0.6987572203745843
pytorch,28,auc,0.5486609487134605,0.6769648170838439,0.6374059163311745
pytorch,29,auc,0.511640119026781,0.7165237178365133,0.6967442674601786
pytorch,0,time,0.02128887176513672,0.5755279064178467,0.8079211711883545
pytorch,1,time,0.0172727108001709,0.5901782512664795,0.6514291763305664
pytorch,2,time,0.019040346145629883,0.5539321899414062,0.815155029296875
pytorch,3,time,0.01707291603088379,0.7406489849090576,0.7166829109191895
pytorch,4,time,0.016479015350341797,0.588425874710083,0.6743218898773193
pytorch,5,time,0.016562938690185547,0.565028190612793,0.8884010314941406
pytorch,6,time,0.01930689811706543,0.6268260478973389,0.8319759368896484
pytorch,7,time,0.01825690269470215,0.5760860443115234,0.6453487873077393
pytorch,8,time,0.018133878707885742,0.5496947765350342,0.6340799331665039
pytorch,9,time,0.0162811279296875,0.5339760780334473,0.6555602550506592
pytorch,10,time,0.015796899795532227,0.5674681663513184,0.6867687702178955
pytorch,11,time,0.016572952270507812,0.5461690425872803,0.678016185760498
pytorch,12,time,0.015335798263549805,0.6042859554290771,0.7060317993164062
pytorch,13,time,0.015342235565185547,0.5561599731445312,0.7450048923492432
pytorch,14,time,0.016141176223754883,0.6162588596343994,0.7520878314971924
pytorch,15,time,0.020395994186401367,0.749985933303833,0.7007300853729248
pytorch,16,time,0.015880823135375977,0.5752749443054199,0.675940752029419
pytorch,17,time,0.01663064956665039,0.6061501502990723,0.7045948505401611
pytorch,18,time,0.015811920166015625,0.5864861011505127,0.6683650016784668
pytorch,19,time,0.015557050704956055,0.5553781986236572,0.6707870960235596
pytorch,20,time,0.016197919845581055,0.5875248908996582,0.7004468441009521
pytorch,21,time,0.016031980514526367,0.5745909214019775,0.6684231758117676
pytorch,22,time,0.016706228256225586,0.5857770442962646,0.727168083190918
pytorch,23,time,0.016756057739257812,0.602294921875,0.7256550788879395
pytorch,24,time,0.017788171768188477,0.6027321815490723,0.689072847366333
pytorch,25,time,0.01654791831970215,0.6016981601715088,0.7157750129699707
